Subject,Object,Predicate,Valence,GroundTruth,Treatment,Population,URL,Document
rapamycin,inflammaging,showing no beneficial effects,0,positive,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
rapamycin,inflammaging,via suppression,-1,negative,fed,mouse model of genetically enhanced NF-κB activity,https://www.ncbi.nlm.nih.gov/pubmed/30468013,"Increased activation of the major pro-inflammatory NF-κB pathway leads to numerous age-related diseases, including chronic liver disease (CLD). Rapamycin, an inhibitor of mTOR, extends lifespan and healthspan, potentially via suppression of inflammaging, a process which is partially dependent on NF-κB signalling. However, it is unknown if rapamycin has beneficial effects in the context of compromised NF-κB signalling, such as that which occurs in several age-related chronic diseases. In this study, we investigated whether rapamycin could ameliorate age-associated phenotypes in a mouse model of genetically enhanced NF-κB activity (nfκb1-/- ) characterized by low-grade chronic inflammation, accelerated aging and CLD. We found that, despite showing no beneficial effects in lifespan and inflammaging, rapamycin reduced frailty and improved long-term memory, neuromuscular coordination and tissue architecture. Importantly, markers of cellular senescence, a known driver of age-related pathology, were alleviated in rapamycin-fed animals. Our results indicate that, in conditions of genetically enhanced NF-κB, rapamycin delays aging phenotypes and improves healthspan uncoupled from its role as a suppressor of inflammation."
pterostilbene,age-related diseases,potential for prevention,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
pterostilbene,dementia,associated ... with protection against,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
pterostilbene,brain changes associated with aging,more effective,1,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
resveratrol,neuroprotective ... effect,do not provide evidence,0,positive,,review,https://www.ncbi.nlm.nih.gov/pubmed/29210129,"Over the past years, several studies have found that foods rich in polyphenols protect against age-related disease, such as atherosclerosis, cardiovascular disease, cancer, arthritis, cataracts, osteoporosis, type 2 diabetes (T2D), hypertension and Alzheimer's disease. Resveratrol and pterostilbene, the polyphenol found in grape and blueberries, have beneficial effects as anti-aging compounds through modulating the hallmarks of aging, including oxidative damage, inflammation, telomere attrition and cell senescence. In this review, we discuss the relationship between resveratrol and pterostilbene and possible aging biomarker, including oxidative stress, inflammation, and high-calorie diets. Moreover, we also discuss the positive effect of resveratrol and pterostilbene on lifespan, aged-related disease, and health maintenance. Furthermore, we summarize a variety of important mechanisms modulated by resveratrol and pterostilbene possibly involved in attenuating age-associated disorders. Overall, we describe resveratrol and pterostilbene potential for prevention or treatment of several age-related diseases by modulating age-related mechanisms."
pterostilbene,oxidative stress,may reduce,-1,negative,,review,https://www.ncbi.nlm.nih.gov/pubmed/28834388,"Dry eye, an age-related condition, is a multifactorial disease of the tears and ocular surface that results in symptoms of discomfort, visual disturbance and tear film instability. Environmental factors are also often implicated in dry eye including exposure to pollutants, ultraviolet (UV) radiation and ozone as well as the chronic use of preserved eyedrops such as in the treatment of glaucoma. These factors increase oxidative stress and ocular surface inflammation. Here, we reviewed the cellular, animal and clinical studies that point to the role of oxidative stress in dry eye disease. The biomarkers used to indicate oxidative damage in ocular surface tissues include 8-hydroxy-2 deoxyguanosine (8-OHdG), 4-hydroxynonenal (HNE) and malondialdehyde (MDD). Antioxidative defences in the ocular surface occur in the form of tear proteins such as lactoferrin and S100A proteins, and enzymes such as superoxide dismutase (SOD), peroxidase, catalase and mitochondrial oxidative enzymes. An imbalance between the level of reactive oxygen species (ROS) and the action of protective enzymes will lead to oxidative damage, and possibly inflammation. A small number of interventional studies suggest that oxidative stress may be directly targeted in topical therapy of dry eye treatment. For example, in vitro studies suggest that L-carnitine and pterostilbene, a blueberry component may reduce oxidative stress, and in animal studies, alpha-lipoic acid (ALP) and selenoprotein P may be helpful. Examples of treatments used in clinical trials include vitamin B12 eyedrops and iodide iontophoresis. With recent emphasis on ageing medicine and preventive holistic health, as well as the role of environmental science, research on oxidative stress in the ocular surface is likely to have increasing impact in the coming years."
oxidative damage,4-hydroxynonenal,biomarkers used to indicate,1,positive,,ocular surface tissue,https://www.ncbi.nlm.nih.gov/pubmed/28834388,"Dry eye, an age-related condition, is a multifactorial disease of the tears and ocular surface that results in symptoms of discomfort, visual disturbance and tear film instability. Environmental factors are also often implicated in dry eye including exposure to pollutants, ultraviolet (UV) radiation and ozone as well as the chronic use of preserved eyedrops such as in the treatment of glaucoma. These factors increase oxidative stress and ocular surface inflammation. Here, we reviewed the cellular, animal and clinical studies that point to the role of oxidative stress in dry eye disease. The biomarkers used to indicate oxidative damage in ocular surface tissues include 8-hydroxy-2 deoxyguanosine (8-OHdG), 4-hydroxynonenal (HNE) and malondialdehyde (MDD). Antioxidative defences in the ocular surface occur in the form of tear proteins such as lactoferrin and S100A proteins, and enzymes such as superoxide dismutase (SOD), peroxidase, catalase and mitochondrial oxidative enzymes. An imbalance between the level of reactive oxygen species (ROS) and the action of protective enzymes will lead to oxidative damage, and possibly inflammation. A small number of interventional studies suggest that oxidative stress may be directly targeted in topical therapy of dry eye treatment. For example, in vitro studies suggest that L-carnitine and pterostilbene, a blueberry component may reduce oxidative stress, and in animal studies, alpha-lipoic acid (ALP) and selenoprotein P may be helpful. Examples of treatments used in clinical trials include vitamin B12 eyedrops and iodide iontophoresis. With recent emphasis on ageing medicine and preventive holistic health, as well as the role of environmental science, research on oxidative stress in the ocular surface is likely to have increasing impact in the coming years."
pterostilbene,catalase ... activity,elevated,1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,superoxide dismutase activities,elevated,1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,carbonylated proteins,lowered,-1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,mitochondrial biogenesis,extrapolate to hike in,1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
pterostilbene,inflammation,ablated,-1,positive,fed,STZ administered Sprague-Dawley (SD) rats,https://www.ncbi.nlm.nih.gov/pubmed/28174611,"There is strong evidence that mitochondrial dysfunction mediated oxidative stress results in aging and energy metabolism deficits thus playing a prime role in pathogenesis of Alzheimer's disease, neuronal death and cognitive dysfunction. Evidences accrued in empirical studies suggest the antioxidant, anticancer and anti-inflammatory activities of the phytochemical pterostilbene (PTS). PTS also exhibits favourable pharmacokinetic attributes compared to other stilbenes. Hence, in the present study, we explored the neuroprotective role of PTS in ameliorating the intracerebroventricular administered streptozotocin (STZ) induced memory decline in rats. PTS at doses of 10, 30 and 50 mg/kg, was administered orally to STZ administered Sprague-Dawley (SD) rats. The learning and memory tests, Morris water maze test and novel object recognition test were performed which revealed improved cognition on PTS treatment. Further, there was an overall improvement in brain antioxidant parameters like elevated catalase and superoxide dismutase activities, GSH levels, lowered levels of nitrites, lipid peroxides and carbonylated proteins. There was improved cholinergic transmission as evident by decreased acetylcholinesterase activities. The action of ATPases (Na+ K+, Ca2+ and Mg2+) indicating the maintenance of cell membrane potential was also augmented. mRNA expression of battery of genes involved in cellular mitochondrial biogenesis and inflammation showed variations which extrapolate to hike in mitochondrial biogenesis and abated inflammation. The histological findings corroborated the effective role of PTS in countering STZ induced structural aberrations in brain."
